News_Text,Label
Government launches free education scheme,Real
Stock market rises after new policy announcement,Real
University introduces new scholarship program,Real
Health ministry starts vaccination campaign,Real
New technology improves medical treatment,Real
India builds new highway project,Real
Electric vehicle usage increases,Real
New AI research launched by university,Real
Rain expected in many regions this week,Real
Education department releases exam schedule,Real
Government announces digital learning program,Real
New smartphone model released by company,Real
Scientists discover new medicine,Real
Economic growth increases this year,Real
Space research mission successful,Real
New railway project approved,Real
Bank introduces new online service,Real
Stock market shows positive trend,Real
Company launches new laptop model,Real
Sports championship starts this month,Real
Aliens are living inside earth secretly,Fake
Earth will explode tomorrow,Fake
People can fly naturally without technology,Fake
Government controls weather using secret machines,Fake
Humans will live forever without medicine,Fake
Moon is made of cheese,Fake
Time travel machine sold online,Fake
Secret organization controls human minds,Fake
Fish can walk on land naturally,Fake
Trees can speak human language,Fake
Gravity will stop working tomorrow,Fake
Superhuman powers discovered in humans,Fake
Invisible city discovered under ocean,Fake
World will end in 24 hours,Fake
Children born with wings reported,Fake
Energy created from nothing scientifically,Fake
Robots secretly replaced teachers,Fake
Government bans sleeping,Fake
Fire will freeze people tomorrow,Fake
People can survive lava naturally,Fake
Sun will disappear next year,Fake
Stars are falling to earth tonight,Fake
Underground humans living in Mars,Fake
Mind reading chip already inside brain,Fake
Blood can be replaced with water,Fake
Magic virus created by dragons,Fake
Super virus spreads from moon,Fake
Flying cars mandatory from tomorrow,Fake
People can breathe without oxygen forever,Fake
Universe shrinking today,Fake
Artificial sun created secretly,Fake
Moon will crash into earth soon,Fake
Secret portal found in school ground,Fake
Zombie soldiers created by government,Fake
Teachers replaced by robots secretly,Fake
Food grows inside human stomach,Fake
Darkness is alive organism,Fake
Electricity comes from human thoughts,Fake
Plants can talk English language,Fake
Water memory technology controls humans,Fake
Invisible animals live in sky,Fake
World population will vanish in one day,Fake
Humans can eat sunlight as food,Fake
Time machine already exists secretly,Fake
Dogs will rule world soon,Fake
Gold grows inside human body,Fake
Telepathy machine invented secretly,Fake
Gravity can be turned off by mobile phone,Fake
Ocean water becomes sweet naturally,Fake
Government hides dragon population,Fake
People can live inside fire,Fake
Artificial intelligence will destroy earth tomorrow,Fake
Secret moon base controlled by aliens,Fake
Human cloning army exists secretly,Fake
Government bans breathing,Fake
Superpower drug sold online secretly,Fake
Lightning can be stored in human body,Fake
Moon has underground cities,Fake
People can teleport naturally,Fake
Universe is alive organism,Fake
Animals will speak English tomorrow,Fake
Technology can make humans immortal now,Fake
